expiry,entry_time,exit_time,leg_type,option_type,strike,entry_premium,exit_premium,pnl_pts,pnl_inr,is_hedge,reason
2026-08-18,2026-08-14 09:18:00,2026-08-14 13:46:02,SHORT_PUT,PE,24100.0,17.65,8.7,8.95,581.75,False,ADJ: PREMIUM_SURGE: CE surged 52.1% >= 50% (Baseline: 21.30 -> Live: 32.40)
2026-08-18,2026-08-14 09:18:00,2026-08-14 13:46:02,LONG_PUT,PE,23900.0,4.65,3.4,-1.25,-81.25,True,ADJ_HEDGE: paired with 204610d3
2026-08-18,2026-08-14 09:18:00,2026-08-17 09:15:50,SHORT_CALL,CE,24600.0,21.3,7.05,14.25,926.25,False,ADJ: PREMIUM_SURGE: PE surged 55.3% >= 50% (Baseline: 25.40 -> Live: 39.45)
2026-08-18,2026-08-14 09:18:00,2026-08-17 09:15:50,LONG_CALL,CE,24800.0,5.5,2.2,-3.3,-214.5,True,ADJ_HEDGE: paired with c86c9b53
2026-08-18,2026-08-17 09:15:50,,SHORT_CALL,CE,24350.0,54.2,0.0,0.0,0.0,False,ENTRY
2026-08-18,2026-08-17 09:15:50,,LONG_CALL,CE,24600.0,7.05,0.0,0.0,0.0,True,ENTRY
2026-08-18,2026-08-17 09:15:50,2026-08-17 10:43:37,SHORT_CALL,CE,24350.0,54.2,32.1,22.1,1436.5,False,ADJ: PREMIUM_SURGE: PE surged 50.1% >= 50% (Baseline: 39.45 -> Live: 59.20)
2026-08-18,2026-08-17 09:15:50,2026-08-17 10:43:37,LONG_CALL,CE,24600.0,7.05,4.85,-2.2,-143.0,True,ADJ_HEDGE: paired with 1e046139
2026-08-18,2026-08-17 10:43:37,,SHORT_CALL,CE,24250.0,72.6,0.0,0.0,0.0,False,ENTRY
2026-08-18,2026-08-17 10:43:37,,LONG_CALL,CE,24450.0,13.2,0.0,0.0,0.0,True,ENTRY
